,FP,TC,Importe,IVA,RET ISR,RET IVA,Otros
115,3.0,1.0,1521.5,48.0,0.0,0.0,
116,3.0,1.0,810.0,129.6,0.0,0.0,
117,99.0,1.0,1521.5,176.8,0.0,0.0,
118,3.0,1.0,1944.01,311.05,0.0,0.0,
119,99.0,1.0,443.74,71.0,0.0,0.0,
120,44.0,1.0,0.0,0.0,0.0,0.0,
121,1.0,1.0,86.9,13.9,0.0,0.0,
122,99.0,1.0,1521.5,176.8,0.0,0.0,
123,1.0,1.0,288.79,46.21,0.0,0.0,
124,99.0,1.0,1521.5,176.8,0.0,0.0,
125,3.0,1.0,1690.61,270.5,0.0,0.0,
126,99.0,1.0,1600.0,256.0,0.0,0.0,
127,1.0,1.0,189.66,30.34,0.0,0.0,
128,99.0,1.0,2296.37,367.42,0.0,0.0,
129,3.0,1.0,2556.1,408.98,0.0,0.0,
130,99.0,1.0,1521.5,176.8,0.0,0.0,
131,3.0,1.0,3008.0,0.0,0.0,0.0,
132,44.0,1.0,0.0,0.0,0.0,0.0,
133,99.0,1.0,1521.5,176.8,0.0,0.0,
134,3.0,1.0,280.0,44.8,0.0,0.0,
135,3.0,1.0,633.6,101.38,0.0,0.0,
136,3.0,1.0,951.83,152.29,0.0,0.0,
137,99.0,1.0,1521.5,176.8,0.0,0.0,
138,4.0,1.0,2086.97,55.03,0.0,0.0,
139,99.0,1.0,247.9,39.66,0.0,0.0,
140,99.0,1.0,329.31,52.69,0.0,0.0,
141,3.0,1.0,1521.5,0.0,0.0,0.0,
142,4.0,1.0,1223.91,190.17,0.0,0.0,
143,99.0,1.0,3700.0,592.0,0.0,0.0,
144,3.0,1.0,98.28,15.72,0.0,0.0,
145,44.0,1.0,0.0,0.0,0.0,0.0,
146,99.0,1.0,1820.0,291.2,0.0,0.0,
147,1.0,1.0,469.83,75.17,0.0,0.0,
148,44.0,1.0,0.0,0.0,0.0,0.0,
149,3.0,1.0,2887.0,461.92,0.0,0.0,
150,3.0,1.0,1485.0,237.6,0.0,0.0,
151,99.0,1.0,3800.14,608.02,0.0,0.0,
152,99.0,1.0,620.0,99.2,0.0,0.0,
153,1.0,1.0,539.23,86.28,0.0,0.0,
154,3.0,1.0,522.47,83.6,0.0,0.0,
155,99.0,1.0,560.35,89.66,0.0,0.0,
156,44.0,1.0,0.0,0.0,0.0,0.0,
157,99.0,1.0,7741.17,176.8,0.0,0.0,
158,99.0,1.0,190.0,30.4,0.0,0.0,
159,3.0,1.0,1521.5,0.0,0.0,0.0,
160,3.0,1.0,4284.0,685.44,0.0,0.0,
